PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,G01,G02,G02A,G02B,G28,G29,G30,G31,G32,G33,G34,G35A,G35B,G36A,G36B,G37A,G37B,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G48_AREA_OTHER,G49_SQUARE,G49_L,G49_W,G49_CERCLE,G50,G51,G52,G53,G54,G54_OTHER,G55_1,G55_2,G55_3,G55_4,G55_5,G55_6,G55_7,G55_8,G55_9,G55_10,G55_OTHER
Kigali City,Nyarugenge,2,Rural,13,Ordinary HH,221.941,224.2671993195952,02,60,No,,,,,,,,,No,,No,,No,,Don't know,Agree,Don't know,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Yes,No,Roughly square,,3,,,,Flat,4,0,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,14,Ordinary HH,221.941,224.2671993195952,02,80,Yes,,,,,,,,,No,,Yes,Always,No,,Agree,No Opinion,Agree,Agree,Agree,Disagree,Disagree,No Opinion,Yes,No,Roughly rectangular,,,2,2,,Flat,2,0,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,15,Ordinary HH,221.941,224.2671993195952,02,120,Yes,,,,,,,,,No,,No,,No,,Agree,Agree,Disagree,Agree,No Opinion,Disagree,Strongly Disagree,Disagree,Yes,No,Roughly square,,2,,,,Flat,2,1,Yes,Other,Financial capacity,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,16,Ordinary HH,221.941,224.2671993195952,02,120,No,,,,,,,,,No,,No,,No,,Don't know,Strongly Agree,Strongly Disagree,Strongly Disagree,Don't know,Agree,No Opinion,Agree,Yes,Yes,Roughly square,,3,,,,Flat,4,2,Yes,Speed to cook,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,18,Ordinary HH,221.941,224.2671993195952,02,150,No,,,,,,,,,Yes,Never,Yes,Never,No,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,No,,,,,,,,,,,,Price,,,,,,,,,,,, 
Kigali City,Nyarugenge,2,Rural,22,Ordinary HH,221.941,224.2671993195952,01,60,Yes,,,,,,,,,Yes,Did not cook beans in the last 7 days,Yes,Always,No,,No Opinion,Strongly Agree,No Opinion,Strongly Agree,Strongly Agree,No Opinion,Strongly Agree,Disagree,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,1,Ordinary HH,179.50659375,170.7883849440346,01,120,No,,,,,,,,,Yes,Never,Yes,About half the time,No,,Don't know,Agree,Don't know,Disagree,Disagree,Disagree,Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,2,Ordinary HH,179.50659375,170.7883849440346,01,40,No,,,,,,,,,No,,Yes,Always,No,,No Opinion,Don't know,No Opinion,No Opinion,Agree,No Opinion,Don't know,No Opinion,No,,,,,,,,,,,,Other,Financial capacity,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,3,Ordinary HH,1566.603,1370.326394831265,01,60,No,,,,,,,,,No,,Yes,About half the time,No,,Don't know,Agree,Don't know,Disagree,Disagree,Don't know,Strongly Disagree,Don't know,No,,,,,,,,,,,,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,4,Ordinary HH,179.50659375,170.7883849440346,02,120,No,,,,,,,,,Yes,Never,Yes,Never,No,,Don't know,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Yes,No,Roughly rectangular,,,3,2,,Flat,2,1,Yes,Fuel used,,,,,,,,,,,, 
Kigali City,Nyarugenge,3,Rural,5,Ordinary HH,1566.603,1370.326394831265,01,120,Yes,,,,,,,,,No,,Yes,Always,No,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Yes,Yes,Roughly square,,2,,,,Flat,2,1,No,Fuel savings,,,,,,,,,,,, 
