Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
54,10,429.7024886363637,424.5695989499306,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,Recurrent cost related to solar device is too expensive,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,15,No,2,01,Paid,240000,Yes,Yes,12,,Reseller
54,12,995.1005000000001,961.649003753349,Southern Province,Nyanza,Rural,Ordinary HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,Paid,80000,Yes,Yes,3,,Other technician
55,4,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,32,Yes,1,02,Paid,31460,No,Yes,12,,Relative/friend
55,9,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,6,No,1,0102,Paid,18700,Yes,Yes,24,,Owner
55,9,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,third,,,,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,0102,Paid,18700,Yes,Yes,3,,Owner
55,9,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,6,No,1,0102,Paid,18700,Yes,Yes,24,,Owner
55,14,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,second,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,34,No,1,01,Paid,2300,Yes,No,3,,Reseller
55,14,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,First,Yes,Telephone,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lantern,No,International brands,Yes,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,34,No,1,01,Paid,2300,Yes,No,3,,Reseller
55,16,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,First,,,,,Quality of light,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,32,No,1,01,Paid,72000,Yes,Yes,11,,Reseller
55,18,1326.08,1475.089327747418,Southern Province,Nyanza,Rural,Ordinary HH,second,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,34,No,1,01,Paid,2100,Yes,No,4,,Reseller
