Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,C128,C135_6,C135_Other,C144,C144_OTHER,C149A,C149B,C149_OTHER,C129,C130,C131,C132,C133,C134,C135_1,C135_2,C135_3,C135_4,C135_5,C136,C137_1,C137_2,C137_3,C137_4,C137_5,C137_6,C138,C139,C140,C141,C142,C143,C145,C146,C147,C148,C150,C151
182,6,1370.709236111111,1440.568425842305,Western Province,Ngororero,Rural,Ordinary HH,third,,,Local private organizations (NGO),,No problems,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Reseller
182,6,1370.709236111111,1440.568425842305,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,Yes,1,0102,Paid,20000,Yes,Yes,18,,Reseller
182,6,1370.709236111111,1440.568425842305,Western Province,Ngororero,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar lighting system,No,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,0102,Paid,20000,No,No,Don't know,,Reseller
182,8,1370.709236111111,1440.568425842305,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,3,01,Paid,70000,Yes,Yes,4,,Owner
182,13,897.1915000000001,897.5291615479905,Western Province,Ngororero,Rural,Ordinary HH,First,,,Local government,,Duration of service too short,Breaks down too often,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,9,Yes,5,01,For free,,,No,4,No,Owner
183,1,162.5009,158.2419157891474,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,"Other, specify","Other, specify",On a not sunny day,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,15,No,2,01,Paid,20000,No,Yes,3,,Owner
183,1,162.5009,158.2419157891474,Western Province,Ngororero,Rural,Ordinary HH,second,,,,,No problems,No other problem,,Solar home system,No,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,Paid,20000,No,No,3,,"Other, specify"
184,7,1540.114,1837.228513852048,Western Province,Ngororero,Rural,Ordinary HH,First,,,Relative/Friend,,Quality of light,Breaks down too often,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,For free,,,No,2,No,Reseller
184,14,1540.114,1837.228513852048,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,72,No,4,0102,Paid,172800,Yes,Yes,12,,Reseller
184,17,1540.114,1837.228513852048,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,72,No,3,01,Paid,172800,Yes,Yes,8,,Reseller
186,4,743.5219492163009,773.2412072657771,Western Province,Ngororero,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,4,02,Paid,37000,Yes,No,3,,Relative/friend
186,5,743.5219492163009,773.2412072657771,Western Province,Ngororero,Rural,Ordinary HH,second,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,Don't know,,Other technician
186,5,743.5219492163009,773.2412072657771,Western Province,Ngororero,Rural,Ordinary HH,fourth,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,Don't know,,Other technician
186,5,743.5219492163009,773.2412072657771,Western Province,Ngororero,Rural,Ordinary HH,third,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,4,01,For free,,,No,3,Yes,Reseller
186,5,743.5219492163009,773.2412072657771,Western Province,Ngororero,Rural,Ordinary HH,First,,,Relative/Friend,,Cannot power large appliances,Maintenance and availability of spare parts,,Solar lighting system,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,Don't know,,Other technician
188,3,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lighting system,Yes,International brands,Yes,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,2,01,Paid,19200,Yes,No,6,,Owner
188,6,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,First,Yes,Electric lamp,Relative/Friend,,"Other, specify",No other problem,Rainy season,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,For free,,,Yes,4,,Other technician
188,6,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,fifth,,,Relative/Friend,,No problems,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Other technician
188,6,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,fourth,,,Relative/Friend,,No problems,No other problem,,Solar home system,No,International brands,No,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,Relative/friend
188,6,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,third,,,"Other, specify",Nothing,No problems,No other problem,,Solar lantern,No,Component-based/Local,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,3,,"Other, specify"
188,6,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,second,,,,,Battery problems,No other problem,,Solar lantern,No,International brands,No,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,4,01,Paid,30000,Yes,No,4,No,Other technician
188,7,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,First,Yes,Electric lamp,,,Breaks down too often,Duration of service too short,,Solar lantern,Yes,International brands,Yes,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,7,01,Paid,29000,Yes,No,5,No,"Other, specify"
188,10,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,First,,,,,Cannot power large appliances,Quality of light,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,10,01,Paid,30000,No,No,3,,"Other, specify"
188,18,1563.48593814433,1479.080498013509,Western Province,Rusizi,Rural,Ordinary HH,First,Yes,Electric lamp,,,Recurrent cost related to solar device is too expensive,Quality of light,,Solar home system,Yes,Component-based/Local,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,3,01,Paid,7200,Yes,Yes,4,,Reseller
189,10,255.983,233.6495113209837,Western Province,Rusizi,Urban,Ordinary HH,First,Yes,Electric lamp,,,Battery problems,No other problem,,Solar lantern,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,10,01,Paid,30000,No,Yes,Don't know,No,"Other, specify"
192,2,107.9484506578947,99.54723917689364,Western Province,Rusizi,Urban,Ordinary HH,First,,,,,"Other, specify","Other, specify",Low power,Solar home system,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,03,Paid,4000,No,No,2,,Reseller
193,5,2612.025215686274,2666.067061575461,Western Province,Rusizi,Rural,Ordinary HH,First,Yes,greenlight plan,,,Recurrent cost related to solar device is too expensive,Breaks down too often,,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,6,01,Paid,30000,Yes,Yes,3,Yes,Other technician
194,2,1837.838920000001,1780.242721536974,Western Province,Rusizi,Rural,Ordinary HH,second,Yes,RADIO,,,Cannot power large appliances,No other problem,,Solar lighting system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lighting product,25,No,1,01,Paid,1500,No,No,1,,Reseller
194,2,1837.838920000001,1780.242721536974,Western Province,Rusizi,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,25,No,2,01,Paid,10000,Yes,No,2,,Reseller
196,9,1899.352575,2038.340288760652,Western Province,Nyamasheke,Rural,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,No,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,Yes,1,01,Paid,15000,No,No,3,,Relative/friend
196,10,2665.758,2947.4409542741,Western Province,Nyamasheke,Rural,Ordinary HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,20,No,1,01,Paid,15000,No,Yes,2,,Owner
196,15,2665.758,2947.4409542741,Western Province,Nyamasheke,Rural,Ordinary HH,First,Yes,Electric lamp,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,10,01,Paid,26000,Yes,No,1,,"Other, specify"
197,2,1118.390646153846,1142.81103481365,Western Province,Nyamasheke,Rural,Ordinary HH,First,Yes,No one,,,Cannot power large appliances,Battery problems,,Solar lighting system,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,50,No,3,01,Paid,170000,Yes,No,3,Yes,Reseller
197,2,1118.390646153846,1142.81103481365,Western Province,Nyamasheke,Rural,Ordinary HH,second,,,Local private organizations (NGO),,Cannot power large appliances,Battery problems,,Solar lantern,No,International brands,Yes,1,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,3,01,For free,,,No,Don't know,Yes,Reseller
197,3,1118.390646153846,1142.81103481365,Western Province,Nyamasheke,Rural,Ordinary HH,First,Yes,Electric lamp,,,Duration of service too short,Breaks down too often,,Solar lantern,Yes,International brands,Yes,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,6,01,Paid,30000,Yes,No,1,Yes,Relative/friend
197,15,1118.390646153846,1142.81103481365,Western Province,Nyamasheke,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,20,No,1,01,Paid,10000,No,Yes,11,,Reseller
198,2,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,second,Yes,Electric lamp,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,320,No,1,01,Paid,20800,Yes,Yes,3,,Reseller
198,2,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,third,Yes,No one,,,No problems,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,320,No,1,01,Paid,20800,Yes,No,3,,Reseller
198,2,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,fourth,,,,,No problems,No other problem,,Solar home system,No,Component-based/Local,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,Paid,20800,Yes,Yes,3,,Reseller
198,2,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,First,,,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,888,No,1,01,Paid,20800,Yes,Yes,3,,Reseller
198,10,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,First,Yes,No one,,,Recurrent cost related to solar device is too expensive,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,01,Paid,31000,Yes,No,1,,"Other, specify"
198,12,821.3362,770.2439430631478,Western Province,Nyamasheke,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,30000,Yes,No,3,,"Other, specify"
199,1,1265.783775,1203.171758236527,Northern Province,Rulindo,Rural,Ordinary HH,First,,,Local government,,Breaks down too often,Quality of light,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,For free,,,No,1,No,Other technician
199,12,1265.783775,1203.171758236527,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,No problems,No other problem,,Solar home system,Yes,Component-based/Local,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,32,Yes,2,0102,Paid,100000,Yes,Yes,10,,Reseller
200,13,2302.376581512605,2281.203480508135,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO and telePhone,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,11,01,Paid,10000,Yes,Yes,12,,Reseller
201,8,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,fourth,Yes,No device four,,,No problems,No other problem,,Solar home system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,8,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,Cannot power large appliances,No other problem,,Solar home system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,8,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,fifth,Yes,Not possible to connect on it,,,No problems,No other problem,,Solar home system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,8,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,third,Yes,No one,,,No problems,No other problem,,Solar home system,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,8,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,second,Yes,No one,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,5,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,2,0102,Paid,27100,No,No,4,,Owner
201,10,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,Quality of light,No other problem,,Solar home system,No,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,5,01,Paid,50000,No,Yes,4,,Reseller
201,10,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,fourth,Yes,RADIO,,,No problems,No other problem,,Solar home system,No,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,5,01,Paid,50000,No,Yes,4,,Reseller
201,10,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,third,Yes,Telephone,,,Duration of service too short,Quality of light,,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,17,Yes,5,01,Paid,50000,No,Yes,4,,Reseller
201,10,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,second,Yes,Telephone,,,Quality of light,Duration of service too short,,Solar home system,No,International brands,Yes,4,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,Yes,5,01,Paid,30000,No,Yes,4,,Reseller
201,11,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,Breaks down too often,Quality of light,,Solar lighting system,Yes,International brands,No,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,2,02,Paid,40000,No,No,4,No,Relative/friend
201,14,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,fourth,Yes,No device four,,,No problems,No other problem,,Solar home system,No,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,14,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,2,0102,Paid,27100,Yes,Yes,4,,Owner
201,14,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,second,,,,,Battery problems,No other problem,,Solar home system,No,International brands,Yes,2,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,50,No,1,0102,Paid,27100,No,Yes,3,Yes,Owner
201,14,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,third,,,,,No problems,No other problem,,Solar home system,No,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Home System,888,No,1,01,Paid,27100,No,No,3,,Owner
201,16,297.5741477832512,313.6106762950947,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,No place to connect on it,,,Duration of service too short,Battery problems,,Solar lantern,Yes,International brands,No,3,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,4,0102,Paid,60000,No,No,3,No,Reseller
202,2,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,First,Yes,RADIO and telePhone,,,Duration of service too short,"Other, specify",Low power,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,12,No,2,01,Paid,80000,Yes,Yes,2,,Reseller
202,12,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,First,,,,,Breaks down too often,Quality of light,,Solar lighting system,Yes,International brands,No,4,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,60,No,3,01,Paid,55000,No,No,12,No,Relative/friend
202,14,140.3869,123.8840693930463,Northern Province,Rulindo,Urban,Ordinary HH,second,,,,,Battery problems,Duration of service too short,,Solar lantern,No,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,24000,No,No,3,No,Owner
202,14,140.3869,123.8840693930463,Northern Province,Rulindo,Urban,Ordinary HH,First,,,,,Duration of service too short,Battery problems,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,24000,No,No,3,No,Owner
202,15,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,fourth,Yes,Telephone,,,Duration of service too short,Recurrent cost related to solar device is too expensive,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,Paid,50000,No,No,4,,Owner
202,15,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,second,Yes,Telephone,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,Paid,50000,No,No,4,,Owner
202,15,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,third,Yes,RADIO,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,Paid,50000,No,No,4,,Owner
202,15,192.8980305343511,192.8109964016701,Northern Province,Rulindo,Urban,Ordinary HH,First,Yes,RADIO,,,Duration of service too short,Cannot power large appliances,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,2,01,Paid,50000,No,No,4,,Owner
203,4,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,RADIO,,,Quality of light,Cannot power large appliances,,Solar lighting system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,17,No,1,0102,Paid,15000,No,No,8,,Owner
203,10,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,17,No,1,01,Paid,180000,Yes,Yes,5,,Reseller
203,11,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,Electric lamp,,,Duration of service too short,Breaks down too often,,Solar lighting system,Yes,International brands,No,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,888,No,1,01,Paid,3000,No,No,2,No,Owner
203,12,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,No one,Local government,,Battery problems,Duration of service too short,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,10,No,1,01,For free,,,No,12,No,Reseller
203,14,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,,,Local government,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,No,1,01,For free,,,No,24,,Other technician
203,15,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,second,Yes,Electric lamp,,,Duration of service too short,No other problem,,Solar lantern,No,International brands,No,1,No,,,,,,Have appliances,,,,,,,Solar Lantern,,,2,0102,Paid,6000,No,No,1,,Owner
203,15,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,Yes,Telephone,,,Quality of light,No other problem,,Solar lighting system,Yes,International brands,Yes,2,No,,,,,,Have appliances,,,,,,,Solar Lighting product,17,Yes,2,0102,Paid,90000,No,Yes,4,,Other technician
203,17,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,4,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,2,0102,Paid,135000,Yes,No,4,,Reseller
203,18,741.4690084033613,736.5927005268429,Northern Province,Rulindo,Rural,Ordinary HH,First,,,Local government,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,10,No,1,02,For free,,,Yes,3,,Reseller
205,14,1266.853,1431.493017730519,Northern Province,Gakenke,Rural,Ordinary HH,First,Yes,RADIO,,,Cannot power large appliances,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,6,No,1,01,Paid,85000,Yes,Yes,4,,Reseller
205,15,1266.853,1431.493017730519,Northern Province,Gakenke,Rural,Ordinary HH,First,,,,,Duration of service too short,Breaks down too often,,Solar lighting system,Yes,Component-based/Local,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,60,No,2,02,Paid,45000,No,Yes,3,No,Other technician
205,17,1266.853,1431.493017730519,Northern Province,Gakenke,Rural,Ordinary HH,First,Yes,Telephone,,,Duration of service too short,Cannot power large appliances,,Solar home system,Yes,International brands,Yes,3,No,,,,,,Have appliances,,,,,,,Solar Lighting product,34,No,1,01,Paid,3500,Yes,Yes,3,,Reseller
205,18,1266.853,1431.493017730519,Northern Province,Gakenke,Rural,Ordinary HH,First,Yes,RADIO,,,Duration of service too short,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,6,No,2,01,Paid,31500,No,Yes,3,,Reseller
206,10,811.818,798.0695157175378,Northern Province,Gakenke,Rural,Ordinary HH,First,,,,,Duration of service too short,Cannot power large appliances,,Solar lantern,Yes,International brands,Yes,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,2,01,Paid,25000,Yes,No,2,,Owner
208,7,17.43883636363636,16.18269452240242,Northern Province,Gakenke,Urban,Ordinary HH,second,Yes,RADIO,,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,13,No,4,01,Paid,90000,Yes,Yes,4,,Reseller
208,7,17.43883636363636,16.18269452240242,Northern Province,Gakenke,Urban,Ordinary HH,First,Yes,RADIO,,,No problems,No other problem,,Solar lighting system,No,International brands,Yes,3,Yes,,,,,,Have appliances,,,,,,,Solar Lighting product,13,No,4,01,Paid,90000,Yes,Yes,4,,Reseller
208,14,17.43883636363636,16.18269452240242,Northern Province,Gakenke,Urban,Ordinary HH,First,,,,,Cannot power large appliances,No other problem,,Solar home system,Yes,International brands,Yes,3,Yes,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,70,No,1,01,Paid,80000,Yes,Yes,3,,Reseller
210,8,1820.559,1744.318575114939,Northern Province,Musanze,Rural,Ordinary HH,First,,,Relative/Friend,,No problems,No other problem,,Solar lighting system,Yes,International brands,Yes,2,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,12,No,3,01,For free,,,No,2,,Relative/friend
214,6,77.81240847058825,78.98079828715849,Northern Province,Musanze,Urban,Ordinary HH,First,,,,,No problems,No other problem,,Solar lantern,Yes,International brands,No,1,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lantern,,,1,01,Paid,50000,No,No,1,,Other technician
219,11,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,5,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,3,01,Paid,90000,No,Yes,24,,Reseller
219,15,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,second,,,Local government,,No problems,No other problem,,Solar lighting system,Yes,International brands,No,3,No,,,,,Yes,Don't have appliances,,,,,Yes,,Solar Lighting product,19,Yes,3,02,For free,,,No,3,,Other technician
219,15,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,third,,,Local government,,No problems,No other problem,,Solar lighting system,No,Component-based/Local,No,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,Yes,3,02,For free,,,No,3,,Other technician
219,15,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,First,,,Local government,,No problems,No other problem,,Solar lighting system,No,International brands,No,3,No,,,,Yes,,Have appliances,,,,,,,Solar Home System,888,Yes,3,01,For free,,,No,3,,Other technician
219,16,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,First,,,,,No problems,No other problem,,Solar home system,Yes,International brands,Yes,5,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,888,Yes,2,01,Paid,240000,No,Yes,24,,Reseller
219,17,1401.212,1368.629736433669,Northern Province,Musanze,Rural,Ordinary HH,First,,,,,Breaks down too often,Cannot power large appliances,,Solar lantern,Yes,International brands,Yes,3,Yes,Yes,,,,,Have appliances,,,,,,,Solar Home System,50,No,3,01,Paid,42000,No,No,11,No,Relative/friend
