Cluster,HI05,HH_WT,C_hhweight,PROVINCE,DISTRICT,HI04,TYPEHH,E00A,E01A,E01B,E01C,E02A,E02B,E02C,E03A,E03B,E03C,E04A,E04B,E04C,E05A,E05B,E05C,E06A,E06B,E06C,E07A,E07B,E07C,E08A,E08B,E09A,E09B,E09C,E10A,E10B,E10C,E11A,E11B,E13A,E13B,E14A,E14B,E15A,E15B,E16A,E16B,E17A,E17B,E18A,E18B,E20A,E20B,E21A,E21B,E22A,E22B,E23A,E23B,E24A,E24B,E26A,E26B,E27A,E27B,E28A,E28B,E29A,E29B,E30A,E30B,E30C,E31A,E31B,E31C,E32A,E32B,E32C,E33A,E33B,E34A,E34B,E35A,E35B,E37A,E37B,E38,E38_OTHER,F01,F10,F10_OTHER
3,14,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,0,0,,,0,,,0,,,0,,,1,Yes,2,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,In nature,,01,No children currently enrolled in school/studying only during daylight,
3,15,179.50659375,170.7883849440346,Kigali City,Nyarugenge,Rural,Ordinary HH,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,In nature,,02,No children currently enrolled in school/studying only during daylight,
3,16,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,6,Yes,3,0,,,0,,,0,,,0,,,1,Yes,2,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
3,17,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,5,Yes,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,In nature,,02,Electric lighting,
3,18,1566.603,1370.326394831265,Kigali City,Nyarugenge,Rural,Ordinary HH,0,3,Yes,3,0,,,0,,,0,,,1,Yes,2,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,Kept at home,,02,Electric lighting,
4,1,262.5804,252.1639912786828,Kigali City,Nyarugenge,Urban,Ordinary HH,0,2,Yes,4,0,,,2,Yes,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,0,,,0,,,0,,0,,0,,0,,"Other, specify",Have no appliances out of use,01,Electric lighting,
4,2,262.5804,252.1639912786828,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,3,Yes,4,0,,,0,,,0,,,1,Yes,5,0,,0,,,1,Yes,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,,0,,,0,,,0,,0,,0,,0,,Kept at home,,01,No children currently enrolled in school/studying only during daylight,
4,3,262.5804,252.1639912786828,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,5,Yes,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,0,,,1,Yes,3,0,,,0,,0,,0,,0,,With other garbage,,02,Electric lighting,
4,4,262.5804,252.1639912786828,Kigali City,Nyarugenge,Urban,Ordinary HH,0,4,No,8,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Yes,3,Yes,0,,,1,No,8,0,,,0,,0,,0,,0,,Kept at home,,03,Electric lighting,
4,5,262.5804,252.1639912786828,Kigali City,Nyarugenge,Urban,Ordinary HH,0,0,,,0,,,12,Yes,12,0,,,0,,,0,,,0,,,0,,0,,,1,Yes,8,0,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Yes,0,,2,Yes,1,Yes,0,,,1,Yes,6,0,,,0,,0,,0,,0,,With other garbage,,01,Electric lighting,
