PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,I01,I17A,I18A,I19A,I17B,I18B,I19B,I17C,I18C,I19C,I17D,I18D,I19D,J01,J02,J03,J03_OTHER,J04,J05,J06,J06_OTHER
Kigali City,Nyarugenge,5,Urban,1,Ordinary HH,35.61450627615064,34.95401376104183,02,15,Daily,15,0,,,0,,,0,,,Yes,Separate solid fuel stove,Charcoal, ,No,,, 
Kigali City,Nyarugenge,5,Urban,2,Ordinary HH,35.61450627615064,34.95401376104183,02,20,Weekly,15,20,Weekly,25,0,,,0,,,Yes,Separate solid fuel stove,Charcoal, ,No,,, 
Kigali City,Nyarugenge,5,Urban,3,Ordinary HH,35.61450627615064,34.95401376104183,02,15,Daily,25,,,,0,,,0,,,Yes,Separate solid fuel stove,Charcoal, ,No,,, 
Kigali City,Nyarugenge,5,Urban,4,Ordinary HH,35.61450627615064,34.95401376104183,02,60,Weekly,10,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,5,Ordinary HH,187.074,200.8102328927649,01,0,,,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,6,Ordinary HH,187.074,200.8102328927649,01,0,,,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,7,Ordinary HH,187.074,200.8102328927649,01,0,,,,,,,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,8,Ordinary HH,187.074,200.8102328927649,02,45,Weekly,30,45,Weekly,45,90,Weekly,60,60,Weekly,120,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,9,Ordinary HH,187.074,200.8102328927649,01,15,Weekly,10,0,,,,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,10,Ordinary HH,187.074,200.8102328927649,01,,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,11,Ordinary HH,187.074,200.8102328927649,01,45,Weekly,120,120,Weekly,30,120,Weekly,45,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,12,Ordinary HH,187.074,200.8102328927649,02,0,,,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,14,Ordinary HH,187.074,200.8102328927649,02,20,Monthly,10,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,16,Ordinary HH,187.074,200.8102328927649,01,60,Weekly,30,,,,120,Weekly,120,90,Weekly,45,No,,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,17,Ordinary HH,187.074,200.8102328927649,01,,,,0,,,10,Daily,10,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,18,Ordinary HH,187.074,200.8102328927649,01,10,Monthly,10,,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,5,Urban,20,Ordinary HH,187.074,200.8102328927649,02,15,Daily,10,,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,1,Ordinary HH,504.2603,574.4683135258695,02,30,Bi-weekly,30,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,2,Ordinary HH,504.2603,574.4683135258695,01,,,,,,,5,Monthly,60,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,3,Ordinary HH,504.2603,574.4683135258695,02,60,Daily,30,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,4,Ordinary HH,504.2603,574.4683135258695,01,30,Bi-weekly,5,,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,5,Ordinary HH,504.2603,574.4683135258695,02,90,Monthly,5,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,6,Ordinary HH,504.2603,574.4683135258695,01,,,,,,,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,7,Ordinary HH,504.2603,574.4683135258695,02,30,Daily,0,15,Daily,0,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,8,Ordinary HH,504.2603,574.4683135258695,02,15,Monthly,5,,,,15,Monthly,0,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,9,Ordinary HH,504.2603,574.4683135258695,01,0,,,0,,,,,,,,,Yes,Separate solid fuel stove,Charcoal, ,No,,, 
Kigali City,Nyarugenge,6,Urban,10,Ordinary HH,504.2603,574.4683135258695,01,0,,,0,,,,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,11,Ordinary HH,504.2603,574.4683135258695,02,10,Weekly,10,0,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,12,Ordinary HH,504.2603,574.4683135258695,01,60,Weekly,40,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,13,Ordinary HH,504.2603,574.4683135258695,02,15,Monthly,120,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,14,Ordinary HH,504.2603,574.4683135258695,02,10,Bi-weekly,5,10,Weekly,0,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,15,Ordinary HH,504.2603,574.4683135258695,01,,,,,,,10,Monthly,30,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,16,Ordinary HH,504.2603,574.4683135258695,01,15,Weekly,0,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,17,Ordinary HH,504.2603,574.4683135258695,02,15,Daily,10,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,6,Urban,18,Ordinary HH,504.2603,574.4683135258695,03,,,,,,,20,Monthly,0,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,1,Ordinary HH,191.7855,188.5642477994629,02,20,Monthly,45,0,,,20,Monthly,0,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,2,Ordinary HH,191.7855,188.5642477994629,02,10,Monthly,10,,,,10,Monthly,0,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,3,Ordinary HH,191.7855,188.5642477994629,02,20,Monthly,10,,,0,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,4,Ordinary HH,191.7855,188.5642477994629,02,30,Monthly,8,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,5,Ordinary HH,191.7855,188.5642477994629,01,,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,6,Ordinary HH,191.7855,188.5642477994629,03,180,Monthly,0,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,7,Ordinary HH,191.7855,188.5642477994629,02,20,Monthly,10,0,,,0,,,0,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,8,Ordinary HH,191.7855,188.5642477994629,02,0,,,,,,30,Monthly,0,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,9,Ordinary HH,191.7855,188.5642477994629,01,,,,,,,10,Monthly,30,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,10,Ordinary HH,191.7855,188.5642477994629,01,30,Monthly,5,,,,,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,11,Ordinary HH,191.7855,188.5642477994629,05,30,Monthly,30,0,,,,,,0,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,12,Ordinary HH,191.7855,188.5642477994629,02,120,Daily,60,,,,5,Daily,30,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,13,Ordinary HH,191.7855,188.5642477994629,01,0,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,14,Ordinary HH,191.7855,188.5642477994629,01,30,Weekly,10,15,Bi-weekly,0,,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,15,Ordinary HH,191.7855,188.5642477994629,02,120,Weekly,30,,,,0,,,0,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,16,Ordinary HH,191.7855,188.5642477994629,01,60,Weekly,30,0,,,0,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,17,Ordinary HH,191.7855,188.5642477994629,01,,,,,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,7,Urban,18,Ordinary HH,191.7855,188.5642477994629,02,10,Monthly,60,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,1,Ordinary HH,709.7714999999999,691.7022258992835,01,10,Daily,0,0,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,2,Ordinary HH,709.7714999999999,691.7022258992835,04,15,Monthly,5,0,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,3,Ordinary HH,709.7714999999999,691.7022258992835,01,120,Monthly,10,0,,,,,,,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,4,Ordinary HH,709.7714999999999,691.7022258992835,02,30,Weekly,0,0,,,0,,,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,5,Ordinary HH,709.7714999999999,691.7022258992835,01,15,Monthly,5,,,,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,6,Ordinary HH,709.7714999999999,691.7022258992835,02,10,Monthly,5,10,Monthly,5,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,7,Ordinary HH,709.7714999999999,691.7022258992835,01,,,,0,,,45,Weekly,0,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,8,Ordinary HH,709.7714999999999,691.7022258992835,01,15,Bi-weekly,0,,,,0,,,0,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,9,Ordinary HH,709.7714999999999,691.7022258992835,02,10,Monthly,10,0,,,0,,,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,10,Ordinary HH,709.7714999999999,691.7022258992835,01,20,Monthly,10,,,,20,Monthly,10,,,,No,,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,11,Ordinary HH,709.7714999999999,691.7022258992835,03,10,Bi-weekly,45,,,,10,Bi-weekly,120,,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,12,Ordinary HH,709.7714999999999,691.7022258992835,02,120,Daily,120,,,,0,,,0,,,Yes,Same solid fuel stove used for cooking,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,13,Ordinary HH,709.7714999999999,691.7022258992835,02,20,Monthly,20,0,,,0,,,0,,,Yes,LPG/cooking gas stove,, ,No,,, 
Kigali City,Nyarugenge,8,Urban,14,Ordinary HH,709.7714999999999,691.7022258992835,01,60,Daily,8,,,,10,Daily,30,15,Daily,15,Yes,Same solid fuel stove used for cooking,, ,No,,, 
