PROVINCE,DISTRICT,Cluster,HI04,HI05,TYPEHH,HH_WT,C_hhweight,F11,F12,F13,F14,F15,F16
Kigali City,Nyarugenge,7,Urban,15,Ordinary HH,191.7855,188.5642477994629,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,7,Urban,16,Ordinary HH,191.7855,188.5642477994629,Kerosene,No,,,,
Kigali City,Nyarugenge,7,Urban,17,Ordinary HH,191.7855,188.5642477994629,Biogas,No,,,,
Kigali City,Nyarugenge,7,Urban,18,Ordinary HH,191.7855,188.5642477994629,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,1,Ordinary HH,709.7714999999999,691.7022258992835,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,2,Ordinary HH,709.7714999999999,691.7022258992835,Gasoline,No,,,,
Kigali City,Nyarugenge,8,Urban,3,Ordinary HH,709.7714999999999,691.7022258992835,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,4,Ordinary HH,709.7714999999999,691.7022258992835,Diesel,No,,,,
Kigali City,Nyarugenge,8,Urban,5,Ordinary HH,709.7714999999999,691.7022258992835,Biogas,No,,,,
Kigali City,Nyarugenge,8,Urban,6,Ordinary HH,709.7714999999999,691.7022258992835,Diesel,No,,,,
Kigali City,Nyarugenge,8,Urban,7,Ordinary HH,709.7714999999999,691.7022258992835,Kerosene,No,,,,
Kigali City,Nyarugenge,8,Urban,8,Ordinary HH,709.7714999999999,691.7022258992835,Biogas,No,,,,
Kigali City,Nyarugenge,8,Urban,9,Ordinary HH,709.7714999999999,691.7022258992835,Another fuel-based lamp,No,,,,
Kigali City,Nyarugenge,8,Urban,10,Ordinary HH,709.7714999999999,691.7022258992835,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,11,Ordinary HH,709.7714999999999,691.7022258992835,Paraffin,No,,,,
Kigali City,Nyarugenge,8,Urban,12,Ordinary HH,709.7714999999999,691.7022258992835,Candle,Yes,1,30,100,
Kigali City,Nyarugenge,8,Urban,13,Ordinary HH,709.7714999999999,691.7022258992835,Kerosene,No,,,,
